index	num_heavy_atoms	num_bonds	depiction	look	time	size
15	39	43	TUBE	GLOSSY	919.0881252288818	56.45
16	25	27	SPACEFILLING	GLOSSY	264.46008682250977	31.102
16	25	27	TUBE	CARTOON	603.0299663543701	29.139
16	25	27	WIREFRAME	GLOSSY	0.5393028259277344	7.714
16	25	27	BALL_AND_STICK	GLOSSY	354.7511100769043	78.737
17	40	44	SPACEFILLING	CARTOON	425.31394958496094	38.878
16	25	27	TUBE	GLOSSY	598.9818572998047	39.187
17	40	44	WIREFRAME	CARTOON	0.8072853088378906	11.758
17	40	44	BALL_AND_STICK	CARTOON	535.973072052002	91.614
17	40	44	SPACEFILLING	GLOSSY	520.500898361206	48.675
17	40	44	BALL_AND_STICK	GLOSSY	760.0381374359131	116.732
17	40	44	WIREFRAME	GLOSSY	1.0962486267089844	11.758
17	40	44	TUBE	CARTOON	1190.04225730896	42.974
18	41	45	SPACEFILLING	CARTOON	465.1451110839844	39.469
17	40	44	TUBE	GLOSSY	1113.0621433258057	58.194
18	41	45	WIREFRAME	CARTOON	0.9291172027587891	13.664
18	41	45	BALL_AND_STICK	CARTOON	580.0988674163818	104.435
18	41	45	SPACEFILLING	GLOSSY	416.1701202392578	49.612
18	41	45	BALL_AND_STICK	GLOSSY	575.6528377532959	132.841
18	41	45	WIREFRAME	GLOSSY	0.9312629699707031	13.664
18	41	45	TUBE	CARTOON	1053.847074508667	51.74
19	36	40	SPACEFILLING	CARTOON	370.09215354919434	35.313
19	36	40	BALL_AND_STICK	CARTOON	483.98494720458984	84.827
19	36	40	WIREFRAME	CARTOON	0.7669925689697266	10.249
18	41	45	TUBE	GLOSSY	1061.946153640747	69.143
19	36	40	SPACEFILLING	GLOSSY	370.0530529022217	44.16
19	36	40	TUBE	CARTOON	793.2918071746826	41.539
19	36	40	WIREFRAME	GLOSSY	0.7138252258300781	10.249
19	36	40	BALL_AND_STICK	GLOSSY	484.70306396484375	107.688
20	27	29	SPACEFILLING	CARTOON	285.82215309143066	26.9
20	27	29	BALL_AND_STICK	CARTOON	384.4761848449707	66.512
20	27	29	WIREFRAME	CARTOON	0.6399154663085938	8.49
19	36	40	TUBE	GLOSSY	793.5948371887207	53.895
20	27	29	SPACEFILLING	GLOSSY	283.19478034973145	33.521
20	27	29	TUBE	CARTOON	656.5890312194824	31.915
20	27	29	WIREFRAME	GLOSSY	0.5869865417480469	8.49
20	27	29	BALL_AND_STICK	GLOSSY	378.89790534973145	85.585
21	31	34	SPACEFILLING	CARTOON	329.7290802001953	29.808
21	31	34	BALL_AND_STICK	CARTOON	419.1632270812988	73.514
21	31	34	WIREFRAME	CARTOON	0.6530284881591797	9.459
20	27	29	TUBE	GLOSSY	661.4642143249512	42.607
21	31	34	SPACEFILLING	GLOSSY	329.87427711486816	37.413
